Distance(Rp) He1_fraction He3_fraction He_ion_fraction He1(atomos/cm^3) He3(atomos/cm^3) He+_ion(atomos/cm^3)
1.8800000000000001 0.5740298252697 1.674018879815e-06 0.4259685007114202 8547488.627498804 24.92667925523604 6342807.9086185545
1.9000000000000001 0.5665451859287 1.675353180794e-06 0.43345313871811925 7990426.415364122 23.62880603942757 6113325.989626588
1.92 0.5590524647551 1.675549526314e-06 0.44094585969537375 7476154.25705638 22.406960909382054 5896726.110557552
1.94 0.5515730733177 1.674593947036e-06 0.448425252088353 7001047.784906452 21.255410770861353 5691805.437393052
1.96 0.5441252286445 1.672486931151e-06 0.45587309886856886 6561797.867559487 20.169109242897942 5497534.336875756
1.98 0.5367243770266 1.669241132833e-06 0.46327395373226715 6155386.034763477 19.143575357270933 5313024.9847622095
2.0 0.5293835615964 1.664879321218e-06 0.4706147735242788 5779060.736351086 18.17479690340128 5137506.256181063
2.02 0.5221137408403 1.659432559215e-06 0.47788459972714076 5430314.761863055 17.259153356352073 4970303.5821060045
2.04 0.514924064549 1.652938596845e-06 0.4850742825124032 5106864.014612959 16.39335432106085 4810822.737419493
2.06 0.5078221129856 1.645440462008e-06 0.492176241573938 4806627.7374878265 15.574390249714684 4658536.747392256
2.08 0.5008141043233 1.636985230798e-06 0.4991842586914692 4527710.218995767 14.799492853429248 4512975.273116803
2.1 0.4939050747355 1.627622960412e-06 0.5060932976415395 4268383.9605784295 14.066103171367992 4373715.972378378
2.12 0.4870990349109 1.617405767911e-06 0.5128993476833321 4027074.254409983 13.371845682428887 4240377.438926848
2.14 0.4803991062326 1.606387039802e-06 0.5195992873803601 3802345.100794883 12.714507191056544 4112613.40646756
2.16 0.4738076393982 1.594620758073e-06 0.5261907659810419 3592886.3825902296 12.092019483588672 3990107.969004583
2.18 0.4673263178538 1.582160929817e-06 0.5326720999852701 3397502.208362178 11.502444967628106 3872571.6204988994
2.2 0.4609562480795 1.569061108612e-06 0.5390421828593914 3215100.334560995 10.943964674007503 3759737.9570714035
2.22 0.4546980384668 1.555373996932e-06 0.545300406159203 3044682.578352099 10.414868133693313 3651360.9167954973
2.24 0.4485518682868 1.541151119889e-06 0.5514465905620801 2885336.136077244 9.91354474646495 3547212.457151158
2.2600000000000002 0.4425175480329 1.526442561545e-06 0.5574809255245384 2736225.7267539087 9.438476340380154 3447080.590081848
2.2800000000000002 0.4365945722466 1.511296755943e-06 0.563403916456644 2596586.4851934435 8.988230685977905 3350767.7103005266
2.3000000000000003 0.4307821657801 1.495760325735e-06 0.5692163384595743 2465717.534750079 8.561455779557372 3258089.1650061067
2.32 0.4250793243226 1.479877962042e-06 0.574919195799438 2342976.1752448105 8.156874750047457 3168872.023111412
2.34 0.4194848499036 1.463692339965e-06 0.58051368640406 2227772.6269939286 7.773281275984251 3082954.0100518507
2.36 0.4139973819954 1.447244064582e-06 0.5860011707605355 2119565.2770784707 7.4095354225694186 3000182.580587342
2.38 0.4086154247522 1.430571642974e-06 0.591383144676157 2017856.3788659468 7.064559828964905 2920414.1071332907
2.4 0.4033373708578 1.413711478269e-06 0.5966612154307217 1922188.160395399 6.7373361907042275 2843513.165241535
2.42 0.3981615223901 1.396697882174e-06 0.6018370809120178 1832139.3014476155 6.42690199399153 2769351.901179171
2.44 0.3930861090617 1.37956310286e-06 0.6069125113751972 1747321.7430295309 6.132347467740707 2697809.4692124687
2.46 0.3881093041505 1.362337365486e-06 0.6118893335121346 1667377.7965562362 5.85281272656485 2628771.528373607
2.48 0.3832292383944 1.345048922902e-06 0.616769416556677 1591977.5232469963 5.5874850830767295 2562129.7902481277
2.5 0.3784440120929 1.327724114508e-06 0.6215546601829854 1520816.357202564 5.335596512755444 2497781.610743841
2.52 0.3737517056265 1.310387431365e-06 0.6262469839860686 1453612.948277733 5.096421257261302 2435629.61998021
2.54 0.3691503885819 1.29306158607e-06 0.6308483183565139 1390107.2032732898 4.869273555357774 2375581.385378039
2.56 0.3646381276467 1.275767585956e-06 0.6353605965857141 1330058.5061300944 4.65350549186101 2317549.1038268786
2.58 0.3602129934199 1.258524808509e-06 0.6397857480552915 1273244.0997589028 4.448504957083433 2261449.319435441
2.6 0.3558730662645 1.241351077977e-06 0.6441256923844221 1219457.6138843568 4.25369371004184 2207202.663920937
2.62 0.3516164413169 1.224262742394e-06 0.6483823344203575 1168507.724862532 4.068525539906313 2154733.6171113634
2.64 0.347441232753 1.207274750247e-06 0.6525575599722497 1120216.9348402424 3.892484520376881 2103970.2854111786
2.66 0.343345577398 1.190400726252e-06 0.6566532322012738 1074420.4588865899 3.7250833526130456 2054844.196385926
2.68 0.3393276377601 1.173653045762e-06 0.6606711885868543 1030965.2098747741 3.5658617925476457 2007290.1078609212
2.7 0.3353856045561 1.157042907418e-06 0.6646132384009926 989708.8719034647 3.414385158719675 1961245.8301558644
2.72 0.3315176987909 1.140580403712e-06 0.6684811606286963 950519.0539658933 3.270242916931487 1916652.060243646
2.74 0.3277221734442 1.124274589286e-06 0.6722767022812107 913272.516392682 3.1330473384901993 1873452.2267809683
